contract_id,pdf_key,contract_name,project_name,sector,_subsector,contract_type,party,party_type,contract_date
7328,5/ed4d29be4122315c46b1579edd5246cd/21292.pdf,Bellevue Gothic Mill Offtake Agreement,Bellevue Gothic Mill,Power and Renewables,Hydropower,Power Purchase Agreement,MICHIANA HYDROELECTRIC COMPANY,Seller,2019-12-15
7823,5/b4a4e657ef1b2b8363547515c28f6b33/main.pdf,Cam Iron Sa Cameroon Metals Concession ,Cam Iron Sa Cameroon Metals Concession,Metals,Manganese,Concession Agreement,Cam Iron S.A.,Concessionaire,2012-11-28
8372,5/91d90981d3967351f62b2d1c588d0925/main.pdf,"Memorandum To Parliament By Minister For Finance : Request For Waiver Of Import Duties, Approved Taxes & Levies For The 370Mw Aksa Energy Power Project Under A Government Of Ghana Contract With Aksa Enerji Uretim As (Aksa) ","Memorandum To Parliament By Minister For Finance : Request For Waiver Of Import Duties, Approved Taxes & Levies For The 370Mw Aksa Energy Power Project Under A Government Of Ghana Contract With Aksa Enerji Uretim As (Aksa)",Generation,IPP,Memorandum to Parliament,Electricity Company,Party,2018-06-19
6635,5/9de792982323f6b4424ba97e7b49a7d1/main.pdf,Exelon Generation Co- Portfolio Sale Amendment 1,Exelon Generation Co- Portfolio Sale,Power and Renewables,Biomass,Power Purchase Agreement,"ELECTRIC COMPANY EXELON GENERATION COMPANY, LLC",Buyer,2015-03-31
6965,5/90edf84f3f620e56b152db6a27445f1a/main.pdf,Shamrock Utilities Clover Leaf Offtake Agreement,Shamrock Utilities Clover Leaf,Power and Renewables,Biomass,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1984-05-06
7370,5/3949e0a3505dfc285751ab9255c98702/54675.pdf,Dixie-Escalante Rural Electric Amendment 2,Dixie-Escalante Rural Electric,Power and Renewables,Wind,Power Purchase Agreement,"Keyhole Ranch, L.L.C.",Grantor,2020-10-07
8707,5/abca3a3d664280b8a6dff11923e31938/main.pdf,Bentley International Trading Corporation Liberia Metals Concession ,Bentley International Trading Corporation Liberia Metals Concession,Metals,Iron Ore,Mining Concession Agreement,Bently International Trading Corporation,Operator,1978-05-22
7285,5/7cb734bb35189427e7a1e729acdc4011/06282.pdf,Chugach Offtake Agreement,Chugach,Power and Renewables,Cogen,Power Purchase Agreement,"CHUGACH ELECTRIC ASSOCIATION, INC.",Seller,1999-02-24
6727,5/cee46d2b3939cc967954b542c81afdeb/main.pdf,Sand Drag Amendment 1,Sand Drag,Power and Renewables,Petroleum Coke-Fired Power Plant,Amendment (Project),Sand Drag LLC,Seller,2010-06-28
6714,5/92bc455e3c843902a346919a5be3fdef/main.pdf,Olivenhain Municipal Water District Offtake Agreement,Olivenhain Municipal Water District,Power and Renewables,Oil-Fired Power Plant,Power Purchase and Interconnection Agreement,OLIVENHAIN MUNICIPAL WATER DISTRICT,Seller,1987-09-16
6416,5/970c734670f97aa4af95b5d5333f1c95/main.pdf,Yolo County Grassland 6 Offtake Agreement,Yolo County Grassland 7 ,Power and Renewables,Nuclear,Power Purchase Agreement,Yolo County,Seller,2013-06-30
3877,5/c1c9e2fc936cdb16243492acd5ce4502/main.pdf,Four Laning of Indore-Ujjain Road Project Agreement,Yolo County Grassland 7 ,Power and Renewables,Gas-Fired Power Plant,Concession Agreement,Madhya Pradesh Road Development Corporation Limited,Concessioning Authority,
7001,5/b3876e4f3742acc3c788700c6828062f/main.pdf,International Turbine Research Amendment 2,International Turbine Research,Power and Renewables,Gas-Fired Power Plant,Power Purchase Agreement,QF,Seller,2001-07-30
6872,5/dee3b579b37a446a28f7af4c5258503c/main.pdf,MM Prima Deshecha Offtake Agreement,MM Prima Deshecha,Power and Renewables,Petroleum Coke-Fired Power Plant,Power Purchase and Sale Agreement,MM Prima Deshecha Energy LLC,Seller,2005-09-05
7088,5/51aea5a91ae4cf95c85d86bd9421bbe6/24741.pdf,Microgy Huckabay Ridge Offtake Agreement,Microgy Huckabay Ridge,Power and Renewables,Hydropower,Power Purchase and Sale Agreement,"Microgy,Inc.",Seller,2007-02-23
9300,5/18edeb932bc3708701e2a1598f4b7957/main.pdf,Khaou Chuly Development Co Cambodia Crops Concession ,Khaou Chuly Development Co Cambodia Crops Concession,Crops,Sugarcane,Entire Agreement,Bank of Cambodia,Party,2006-12-13
7379,5/89a2299268dbbbb2b61f08d37178fa25/59827.pdf,Peetz Table Offtake Agreement 1,Peetz Table,Power and Renewables,Oil-Fired Power Plant,Power Purchase Agreement,"Northern Colorado Wind Energy, LLC",Seller,2008-12-21
7010,5/7c72c47896bb886219dfdfd465bc4398/main.pdf,WMES El Sobrante Offtake Agreement,WMES El Sobrante,Power and Renewables,Hydropower,Power Purchase Agreement,"WM ENERGY SOLUTIONS,INC.",Seller,2002-12-20
6826,5/9e79a69ebd94c5950185061b1753985d/main.pdf,Fresh Air Energy Offtake Agreement,Fresh Air Energy,Power and Renewables,Thermal,Power Purchase Agreement,PACIFIC GAS AND ELECTRlC COMPANY.,Buyer,2011-07-14
7002,5/2017ab1bd584121647539d840c93942e/main.pdf,International Turbine Research Amendment 3,International Turbine Research,Power and Renewables,Generation,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2006-05-04
7291,5/ba8dd498c26b3cd9dc6933bfa91f2eb1/75103.pdf,Sand Point Offtake Agreement,Sand Point,Power and Renewables,Wind,Power Purchase Agreement,"ALEUTIAN WIND ENERGY, LLC.",Seller,2001-03-01
6909,5/fbfd82f2c04c4b3152d1dc9c3e8494bb/89132.pdf,Thermal Energy Dev Corp Amendment 3,Thermal Energy Dev Corp,Power and Renewables,Energy Storage,Power Purchase Agreement,"Thermal Energy Development Partnership, LP",Seller,2011-09-21
8709,5/6f5a826c1cf498771d96a3537431d281/main.pdf,China-Union (Hong Kong) Mining Co Liberia Metals Concession ,China-Union (Hong Kong) Mining Co Liberia Metals Concession,Metals,Lead,Mineral Development Agreement,"China-Union (Hong Kong) Mining Co., Ltd.",Concessionaire,2009-01-18
6946,5/2b11adacc61488573973681bffadae67/main.pdf,Avenal Offtake Agreement,Avenal,Power and Renewables,Biomass,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,2009-12-23
6960,5/f89a3f8338b70e323b0eb2e31e530c1c/main.pdf,CTVPower Amendment 2,CTVPower,Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,13 SOUTHERN CALIFORNIA EDISON COMPANY,Buyer,1985-04-10
7002,5/2017ab1bd584121647539d840c93942e/main.pdf,International Turbine Research Amendment 3,International Turbine Research,Power and Renewables,Cogen,Power Purchase Agreement,"International Turbine Research, Inc.",Seller,2006-05-04
6820,5/f24931e76a069350912df7d3b2a5691e/main.pdf,Kingsburg 1 Offtake Agreement,Kingsburg 1,Power and Renewables,Nuclear,Power Purchase Agreement,ImMODO California 1 LLC,Seller,2011-10-10
6947,5/d3b2850ac4a3e50c84eeb8e1e0f583da/main.pdf,Avenal Amendment 1,Avenal,Power and Renewables,Generation,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2009-12-23
6848,5/94da87238943bdfc68022980e6df1ccc/main.pdf,BuenaVista Offtake Agreement,BuenaVista,Power and Renewables,Coal-Fired Power Plant,Power Purchase and Sale Agreement,"Buena Vista Energy, LLC",Seller,1998-07-15
6825,5/136469dc0c57517f1f6a2bbc9d9bca0a/main.pdf,Fresh Air Energy Amendment 1,Fresh Air Energy,Power and Renewables,Biomass,Amendment (Project),"AHURA ENERGY CONCENTRATING SYSTEMS, INC.",Seller,2012-03-28
7136,5/973ff670267c7178af8b68b6a9cf90ef/35435.pdf,Hunter Industries Offtake Agreement,Hunter Industries,Power and Renewables,Nuclear,Energy Services Agreement,"Hunter Industries, Inc.",Customer,2007-12-12
9111,5/b9eecf415f4b5b8a71aac721487e314a/main.pdf,Konkola Copper Mines Zambia Metals Concession ,"Konkola Deep Mining Project, Nchanga IBU, Nampundwe Mine",Metals,Nickel,Amended and Restated Development Agreement,Minister of Mines,Government,2003-03-31
6739,5/43b9d839ee856448589b3866345ebdd2/main.pdf,Bioenergy Solutions Offtake Agreement,Bioenergy Solutions,Power and Renewables,Oil-Fired Power Plant,Biogas Purchase and Sale Agreement,"BioEnergy Solutions, LLC",Seller,2006-12-11
8561,5/dc6b8dc7bbb4e001c039fe8e7643013a/main.pdf,Farakka Raiganj Highways Limited Raiganj Road Concession Agreement ,Farakka Raiganj Highways Limited Raiganj Road Concession Agreement,Road,Rest Stops,Concession Agreement,Tollway Ltd.,Member of Consortium,2010-07-18
8327,5/e637a6c3f58a709b1759efa57789e93e/main.pdf,Akanko Mining Limited Ghana Metals Concession ,Akanko Mining Limited Ghana Metals Concession,Metals,Rutile,Mining Lease,Akanko Mining Limited ,Company,2008-04-11
8707,5/abca3a3d664280b8a6dff11923e31938/main.pdf,Bentley International Trading Corporation Liberia Metals Concession ,Bentley International Trading Corporation Liberia Metals Concession,Metals,Silver,Mining Concession Agreement,Bently International Trading Corporation,Operator,1978-05-22
7234,5/48551a3eba4af516a5ea9a985b3612d6/63117.pdf,Collins Pine Amendment 2,Collins Pine,Power and Renewables,Biomass,Power Purchase Agreement,COLLINS PINE COMPANY,Seller,1990-07-20
9217,5/952043ecb40302162697a51e9a9f9b9b/main.pdf,Chibuluma Mines Plc Zambia Metals Concession ,Chibuluma Mines Plc Zambia Metals Concession,Metals,Zircon,Entire Agreement,Ministry of Mines and Minerals Development,Government,1997-09-29
6725,5/8df7c3facea7685c95408d64fe298361/main.pdf,Sand Drag Offtake Agreement,Sand Drag,Power and Renewables,Geothermal,Power Purchase Agreement,Sand Drag LLC,Seller,2009-12-24
8945,5/96ab7ef99e88c9c1f82c1bd4b23230f5/main.pdf,Sl Mining Limited Sierra Leone Metals Concession ,Sl Mining Limited Sierra Leone Metals Concession,Metals,Platinum,Licence Agreement,Mining Limited.,Licensee,2017-12-06
6951,5/053e1b10b6b38baea7b5600690384bf0/main.pdf,Sycamore Energy 2 LLC Offtake Agreement,Sycamore Energy 2 LLC,Power and Renewables,Generation,Power Purchase Agreement,SYCAMORE ENERGY 2 LLC,Seller,2014-03-07
6432,5/8e4f0fa90d5251809b118eacc532931e/main.pdf,Eric and Debbie Wattenburg Amendment 1,Eric and Debbie Wattenburg,Power and Renewables,Thermal,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1986-07-28
8778,5/b4cfd361bd05f28d31bd384a21f213ec/main.pdf,"Putu Iron Ore Mining, Inc. and Mano River Iron Ore Ltd. Liberia Metals Concession ","Putu Iron Ore Mining, Inc. and Mano River Iron Ore Ltd. Liberia Metals Concession",Metals,Titanium,Mineral Development Agreement,The Government Of The Republic Of Liberia,Government,2010-09-02
6415,5/ee6f5018121b7a2080f013f493c56d6a/main.pdf,Sol Orchard 22 Valley Center 1 Amendment 2,Sol Orchard 22 Valley Center 1,Power and Renewables,Hydropower,Power Purchase Agreement,Sol Orchard San Diego 22 LLC,Seller,2012-07-04
6714,5/92bc455e3c843902a346919a5be3fdef/main.pdf,Olivenhain Municipal Water District Offtake Agreement,Olivenhain Municipal Water District,Power and Renewables,Hydropower,Power Purchase and Interconnection Agreement,OLIVENHAIN MUNICIPAL WATER DISTRICT,Seller,1987-09-16
6416,5/970c734670f97aa4af95b5d5333f1c95/main.pdf,Yolo County Grassland 6 Offtake Agreement,Yolo County Grassland 7 ,Power and Renewables,Oil-Fired Power Plant,Power Purchase Agreement,16 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2013-06-30
6742,5/dba56441b44aa53f2a91a68561ed6fe1/main.pdf,Pacific Station Amendment 1,Pacific Station,Power and Renewables,Thermal,Energy Services Agreement,PACIFIC STATION PROPERTY LLC,Customer,2011-01-21
7288,5/bc31fb2935af9133c19f1e87532b8b23/27227.pdf,McRoberts Creek Offtake Agreement,McRoberts Creek,Power and Renewables,Oil-Fired Power Plant,Amendment (Project),DBA ENERDYNE,Seller,1991-02-04
6918,5/941599f74b562dc485743fd5f8e844a9/main.pdf,Malacha Hydro Offtake Agreement,Malacha Hydro,Hydropower,Run of the River,Power Purchase Agreement,JUNIPER RIDGE HYDRO,Seller,1984-10-15
7309,5/783a8d8cb62a9fd50b0e042e09f51be1/26042.pdf,Midland Cogeneration Offtake Agreement,Midland Cogeneration,Power and Renewables,Coal-Fired Power Plant,Power Purchase Agreement,"Lincoln, LLC",Party,2020-11-04
8024,5/87c0b9d47d2012f05e750e6a96a94823/main.pdf,British Columbia Hospital/Hospice Project Report ,British Columbia Hospital/Hospice Project Report,Hospital/Hospice,Hospital,Project Agreement,Western Limited,Architect,2018-11-14
6653,5/865e509fdf690e1e206fca6c0baf9d59/main.pdf,Tenaska Offtake Agreement,Tenaska,Power and Renewables,Gas-Fired Power Plant,Power Purchase and Sale Agreement,13 PACIFIC GAS AND ELECTRIC COMPANY,Seller,2012-12-13
6959,5/d4825dd29c8ae698fab65551c89b3020/main.pdf,CTVPower Amendment 1,CTVPower,Power and Renewables,Solar,Power Purchase Agreement,Energy Capital Corporation,Seller,1992-11-09
6932,5/7d74276d0a23cb809fa9c20c595dc01a/main.pdf,Sanford-Burnham Medical Research Institute I Offtake Agreement,Sanford-Burnham Medical Research Institute I,Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,San Diego Gas & Electric Company,Buyer,2011-01-28
6791,5/6db0e530a8f6cbdd412361fa62d11b62/main.pdf,SPI Sonora Offtake Agreement,SPI Sonora,Power and Renewables,Thermal,Interconnection Agreement ,CALIFORNIA INDEPENDENT SYSTEMS OPERATOR CORPORATION,Operator,2017-07-14
7283,5/dcc431274be619e12248e0c0b937a49d/98174.PDF,Sky River Offtake Agreement,Sky River,Power and Renewables,Oil-Fired Power Plant,Power Purchase Agreement,ESI VG Limited Partnership,PPA Seller,2003-01-29
7370,5/3949e0a3505dfc285751ab9255c98702/54675.pdf,Dixie-Escalante Rural Electric Amendment 2,Dixie-Escalante Rural Electric,Power and Renewables,Thermal,Power Purchase Agreement,"First American Title Insurance Agency, Inc.",Trustee,2020-10-07
6798,5/3202415e52a6b042ca87ea5457f3ed64/main.pdf,Yuba County Water Amendment 3,Yuba County Water,Power and Renewables,Cogen,Power Purchase Agreement,YUBA COUNTY WATER AGENCY,Seller,2008-01-29
6630,5/823e46553a74e06e043c6deddf52a551/main.pdf,Monterey Regional Water Offtake Agreement,Monterey Regional Water,Power and Renewables,Coal Fired Power Plant,Power Purchase Agreement,MONTEREY REGIONAL WATER POLLUTION CONTROL AGENCY,Seller,1984-05-06
7295,5/df205449b4734df9962e0d4113d15700/61698.pdf,Sand Point Amendment 1,Sand Point,Power and Renewables,Generation,Amendment (Project),REGULATORY COMMISSION OF ALASKA,Regulator,2011-01-20
7163,5/7139674a661bada37e0505cbabe15e41/52027.pdf,Blackspring Ridge IA Offtake Agreement,Blackspring Ridge IA,Power and Renewables,Coal-Fired Power Plant,Power Purchase Agreement,Blackspring Ridge IA Wind Project LP,Seller,2010-02-19
7156,5/39e024f0da4854eba72b55f984fec6c6/14222.pdf,Mega Renewables Silver Springs Amendment 1,Mega Renewables Silver Springs,Power and Renewables,Thermal,Amendment (Power Purchase Agreement),Pacific Gas and Electric Company,Buyer,2001-07-31
9121,5/89e99dbe4f075087822d50f55a6644b7/main.pdf,Spearnet Zambia Limited Zambia Metals Concession ,Spearnet Zambia Limited Zambia Metals Concession,Metals,Silver,Licence Agreement,Spearnet Zambia Limited,Licensee,2014-08-28
6611,5/7ae715ce399958bb31e8710b51d2ca6b/main.pdf,Charcoal Ravine Offtake Agreement,Charcoal Ravine,Power and Renewables,Thermal,Power Purchase Agreement,"NEOCENE EXPLORATIONS, INC",Seller,1983-02-13
3877,5/c1c9e2fc936cdb16243492acd5ce4502/main.pdf,Four Laning of Indore-Ujjain Road Project Agreement,Yolo County Grassland 7 ,Power and Renewables,Wind,Concession Agreement,M/s Mahakaleshwar Tollways Private Limited,Concessionaire,
6848,5/94da87238943bdfc68022980e6df1ccc/main.pdf,BuenaVista Offtake Agreement,BuenaVista,Power and Renewables,Nuclear,Power Purchase and Sale Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1998-07-15
8327,5/e637a6c3f58a709b1759efa57789e93e/main.pdf,Akanko Mining Limited Ghana Metals Concession ,Akanko Mining Limited Ghana Metals Concession,Metals,Leucoxene,Mining Lease,Akanko Mining Limited ,Company,2008-04-11
6864,5/777e408e95979e898b1dea0bec11e2a0/main.pdf,Oak Creek Energy Offtake Agreement,Oak Creek Energy,Power and Renewables,Nuclear,Amendment (Project),"OAK CREEK TRUST, LLC",Seller,2012-04-30
6461,5/7707e5aa8a65f7765fe231cf95042843/main.pdf,Snow Mountain Hydro Burney Creek Amendment 2,Snow Mountain Hydro Burney Creek,Hydropower,Dam,Power Purchase Agreement,"Snow Mountain Hydro, LLC",Seller,2006-05-03
6886,5/5c39a17d7447d8175376481b7346a625/main.pdf,Coram Energy Amendment 1,Coram Energy,Power and Renewables,Diesel-Fired Power Plant,Amendment (Project),"CORAM ENERGY GROUP, LTD.",Seller,2004-09-30
6969,5/eca123371a7c8042f44419485ccd2afd/main.pdf,Coram Offtake Agreement,Coram,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2010-06-02
6778,5/14cab23078de9d1955b67e907dbdc871/main.pdf,San Luis Bypass FiT_AB1969 Offtake Agreement,San Luis Bypass FiT_AB1969,Power and Renewables,Petroleum Coke-Fired Power Plant,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,2011-10-11
8814,5/34e65d4201d8532c76ff522a48dc1c41/main.pdf,Highland African Mining Company Mozambique Metals Concession ,Highland African Mining Company Mozambique Metals Concession,Metals,Silver,MINERAL EXPLORATION AGREEMENT,"HIGHLAND AFRICAN MINING COMPANY, LDA.",Concessionaire,2002-12-23
4390,5/f8577c6f41e8de9905e20969ed64f668/main.pdf,Marine Terminal Operations at Skagway Terminal Project Agreement,Marine Terminal Operations at Skagway Terminal,Ports and Shipping,Container Terminal,Terminal Operators' Agreement,The Pacific and Arctic Railway and Navigation Company,Party,1984-11-20
6609,5/c670cb514592a4695cadc6fe73f3849a/main.pdf,Sierra Biomass Offtake Agreement,Sierra Biomass,Biomass,Landfill Gas,Power Purchase Agreement,13 SOUTHERN CALIFORNIA EDISON COMPANY,Buyer,2005-03-07
6687,5/9ca0634f422994135d1fe7624ecf4a24/main.pdf,DG Fairhaven Offtake Agreement,DG Fairhaven,Power and Renewables,Geothermal,Power Purchase Agreement,FAIRHAVEN POWER CO.,Seller,1984-09-18
6911,5/e8a5bb21a59859c1357ad82f30353bb4/main.pdf,Thermal Energy Dev Corp Offtake Agreement,Thermal Energy Dev Corp,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,PACIFIC GAS AND ELECTRlC COMPANY.,Buyer,1985-06-24
6459,5/cd57103e88f7d091eacbab8a61a7df28/main.pdf,Aero Energy Offtake Agreement,Aero Energy,Power and Renewables,Generation,Power Purchase and Sale Agreement,"Aero Energy, LLC",Seller,2005-03-08
7369,5/d40e00efbdce244a4abdaf67c9b75425/29683.pdf,Dixie-Escalante Rural Electric Amendment 1,Dixie-Escalante Rural Electric,Power and Renewables,Oil-Fired Power Plant,Restated Mortgage and Security Agreement,"DIXIE-ESCALANTE RURAL ELECTRIC ASSOCIATION, INC.",Mortgagor,
6737,5/fe8d2462e09547d4c95531889089fa6e/main.pdf,Lofton Ranch Amendment 2,Lofton Ranch,Power and Renewables,Oil-Fired Power Plant,Amendment (Project),LOFTON RANCH HYDRO,Seller,2001-07-30
7056,5/7d0af79a5d09368a6562326334918cd0/main.pdf,Haypress UGEN Amendment 1,Haypress UGEN,Hydropower,Dam,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,2010-10-06
8183,5/4d05d2b8a258e57a36ac016a91cde7d0/main.pdf,Sociedad Portuaria El Cayao S A E S P Colombia Midstream International Leasing Agreement ,Sociedad Portuaria El Cayao S A E S P Colombia Midstream International Leasing Agreement,Midstream,Pipeline,International Leasing Agreement,Höegh LNG Holdings Ltd.,Guarantor,2014-10-31
6889,5/a6575fb15e66c55bd9d8484840e57534/main.pdf,Coram Energy Amendment 3,Coram Energy,Power and Renewables,Nuclear,Amendment (Project),CORAM ENERGY GROUP LTD.,Seller,1985-09-25
7304,5/22071b7313d9b80ce14d4c2f3a0f4221/92223.PDF,New Brunswick Board of Education Energy Offtake Agreement,New Brunswick Board of Education Energy,Power and Renewables,Thermal,Extension Agreement,"GSPP Oynx New Brunswick, LLC",Owner,2019-08-03
7370,5/3949e0a3505dfc285751ab9255c98702/54675.pdf,Dixie-Escalante Rural Electric Amendment 2,Dixie-Escalante Rural Electric,Power and Renewables,Thermal,Power Purchase Agreement,Robinson Living Trust,Beneficiary,2020-10-07
6871,5/e53d6c1cf3810ef71551baf48769df8b/main.pdf,MM Prima Deshecha Amendment 1,MM Prima Deshecha,Power and Renewables,Thermal,Power Purchase Agreement,MM Prima Deshecha Energy LLC,Seller,2002-11-01
7010,5/7c72c47896bb886219dfdfd465bc4398/main.pdf,WMES El Sobrante Offtake Agreement,WMES El Sobrante,Power and Renewables,Energy Storage,Power Purchase Agreement,12 SOUTHERN CALIFORNIA EDISON COMPANY,Buyer,2002-12-20
6630,5/823e46553a74e06e043c6deddf52a551/main.pdf,Monterey Regional Water Offtake Agreement,Monterey Regional Water,Power and Renewables,Coal-Fired Power Plant,Power Purchase Agreement,MONTEREY REGIONAL WATER POLLUTION CONTROL AGENCY,Seller,1984-05-06
8945,5/96ab7ef99e88c9c1f82c1bd4b23230f5/main.pdf,Sl Mining Limited Sierra Leone Metals Concession ,Sl Mining Limited Sierra Leone Metals Concession,Metals,Zinc,Licence Agreement,Mining Limited.,Licensee,2017-12-06
8943,5/4aad6072dd01904bdc2ed100709a575b/main.pdf,Sierra Minerals Holdings Sierra Leone Metals Concession ,Sierra Minerals Holdings Sierra Leone Metals Concession,Metals,Iron Ore,Mining Lease Agreement,The Republic Of Sierra Leone,Government,2012-07-15
6763,5/ecb6f0d0242d13e28f7d932d5744aee0/main.pdf,Mega Renewables Bidwell Ditch Amendment 1,Mega Renewables Bidwell Ditch,Power and Renewables,Solar,Amendment (Project),PACIFIC GAS AND ELECTRIC COMPANY.,Buyer,2001-07-30
8682,5/9c2f26b49b9eb4e2089cecb6e1b99714/main.pdf,Nigeria Hydropower Concession ,Nigeria Hydropower Concession,Hydropower,Dam,Concession Agreement,Mainstream Energy Solutions Limited,Concessionaire,2013-02-21
7002,5/2017ab1bd584121647539d840c93942e/main.pdf,International Turbine Research Amendment 3,International Turbine Research,Power and Renewables,Solar,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2006-05-04
